S/No,Name of Institution,Has Pharmacy Association,Name of Pharmacy Association (if any)
1,Mbale College of Health Sciences,YES,Mbale College of Health Sciences Pharmacy Students Association (MCOPSA)
2,UIAHMS-Mulago School of Pharmacy,YES,Mulago Pharmacy Students' Association
3,Fortportal College of Health Sciences,YES,Fortportal College of Health Sciences Pharmacy Students Association
4,Gulu College of Health Sciences,YES,Gulu College of Health Sciences Pharmacy Students Association
5,Ishaka Adventist School of Allied Health Sciences,YES,Ishaka Adventist School of Allied Health Sciences Pharmacy Students Association
6,St. Elizabeth Institute of Health Professionals-Mukono,NO,—
7,Jerusalem Institute of Health Sciences,YES,Jerusalem Institute of Health Sciences Pharmacy Students Association
8,Indian Institute of Allied Health Sciences,NO,—
9,Kampala Institute of Science and Technology,NO,—
10,St. Francis School of Health Sciences,NO,—
11,Koboko Institute of Health Sciences,NO,—
12,Kampala Institute of Health Professionals,NO,—
13,Kampala School of Health Sciences,NO,—
14,Tropical Institute of Allied Health Sciences-Namugongo,YES,Tropical Institute of Allied Health Sciences Pharmacy Students Association
15,Lugazi Institute of Medical Education and Management,NO,—
16,International Paramedical Institute-Maya,YES,International Paramedical Institute Pharmacy Students' Association
17,Fins Medical University-Fortportal,YES,Fins Medical University Pharmacy Students' Association (FUPSA)
18,Metropolitan International University-Mbarara,YES,Metropolitan International University Pharmacy Students' Association (MIUPSA)
19,Soroti Pharmaceutical Training College,NO,—
20,Mbarara Institute of Health Sciences and Management,NO,—
21,Vine Paramedical School,NO,—
22,Lira Institute of Health and Management Sciences,NO,—
23,Karoli Lwanga Institute of Health Sciences-Nyakibale,YES,Karoli Lwanga Institute of Health Sciences Pharmacy Students Association
24,(Note: S/No 24 appears to be missing in original document),,
25,Buloba College of Health Sciences,YES,Buloba College of Health Sciences Pharmacy Students Association
26,Central School of Allied Health Sciences-Wakiso,NO,—
27,St. Regina College of Health Professionals,NO,—
28,Bugembe Institute of Health Sciences,NO,—
29,Kumi Institute of Allied Health Sciences,NO,—
30,Kampala School of Paramedicals,NO,—
31,Kawempe Community School of Health Sciences,NO,—
32,Elgon International Health Institute-Mbale,NO,—
33,Lubega School of Health Professionals,NO,—
34,Tororo School of Health Sciences,YES,Tororo School of Health Sciences Pharmacy Students Association
35,Arua Institute of Health Sciences,YES,Arua Institute of Health Sciences Pharmacy Students Association
